add_id,delivery_address1,delivery_address2,delivery_city,delivery_zipcode
add001,42 Willow Lane,,London,E1 7AB
add002,17 Rosewood Avenue,,London,SE10 5XY
add003,88 Oakwood Terrace,,London,N4 3DE
add004,29 Elmwood Crescent,,London,SW7 2FG
add005,5 Maple Street,,London,W2 4HI
add006,63 Cedar Road,,London,E14 9JK
add007,12 Birchwood Close,,London,NW3 6LM
add008,21 Pinehurst Lane,,London,SW16 8NO
add009,37 Hollydale Drive,,London,SE22 1PQ
add010,8 Redwood Court,,London,N7 5ST
add011,56 Willowbrook Avenue,,London,E17 8QR
add012,3 Elmridge Place,,London,W12 2UV
add013,74 Cedarwood Road,,London,NW5 3AB
add014,19 Maplehurst Way,,London,SW2 9CD
add015,64 Oakdale Street,,London,N16 7EF
add016,10 Rosebank Terrace,,London,SE8 4WX
add017,25 Birchfield Road,,London,E2 6YZ
add018,49 Pineview Gardens,,London,W6 5KL
add019,2 Hollyfield Lane,,London,SE14 7MN
add020,31 Redwood Square,,London,N1 8OP
add021,85 Willowside Park,,London,E3 2RQ
add022,14 Elmwood Green,,London,SW10 1SD
add023,50 Cedarhurst Avenue,,London,NW9 4FG
add024,7 Maplewood Street,,London,W8 3IJ
add025,71 Oakridge Lane,,London,N19 5UV
add026,6 Rosewood Crescent,,London,SE4 6DE
add027,23 Birchwood Place,,London,E11 7AB
add028,38 Pinehurst Road,,London,SW15 8XY
add029,11 Hollydale Close,,London,E16 9NO
add030,58 Cedarbrook Avenue,,London,N3 6LM
add031,15 Willowbrook Drive,,London,E9 2FG
add032,80 Elmridge Road,,London,SW5 4HI
add033,9 Maplehurst Lane,,London,W10 9JK
add034,44 Oakwood Court,,London,N15 3DE
add035,1 Rosewood Terrace,,London,SE1 7PQ
add036,26 Birchfield Avenue,,London,E18 5ST
add037,67 Pineview Street,,London,SW3 8QR
add038,4 Hollyfield Road,,London,E7 2UV
add039,28 Redwood Lane,,London,N12 3AB
add040,53 Willowside Avenue,,London,E13 8WX
add041,20 Elmwood Gardens,,London,SW20 4CD
add042,12 King Street,,Manchester,M2 4AB
add043,45 Queen Road,,Manchester,M14 5XY
add044,78 Victoria Avenue,,Manchester,M16 7DE
add045,3 Park Lane,,Birmingham,B1 2FG
add046,66 High Street,,Birmingham,B12 4HI
add047,19 Church Road,,Birmingham,B23 5JK
add048,28 Rose Avenue,,Leeds,LS1 4LM
add049,9 Oak Street,,Leeds,LS10 9NO
add050,34 Elm Road,,Leeds,LS15 3PQ
